productid,country,company,cost,estimatedTime,tracked
32868589524,ID,AliExpress Standard Shipping,0 USD,20-35 days,true
32868589524,ID,China Post Registered Air Mail,0 USD,20-36 days,true
32868589524,ID,EMS,22.26 USD,15-27 days,true
32868589524,ID,DHL,39.36 USD,9-19 days,true
32868589524,GM,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,GM,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,GM,DHL,99.45 USD,7-15 days,true
32868589524,HT,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,HT,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,HT,DHL,99.45 USD,7-15 days,true
32868589524,HM,AliExpress Standard Shipping,4.83 USD,20-40 days,true
32868589524,GW,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,GW,DHL,99.45 USD,7-15 days,true
32868589524,IS,China Post Registered Air Mail,2.27 USD,22-38 days,true
32868589524,IS,AliExpress Standard Shipping,5.19 USD,25-40 days,true
32868589524,IS,DHL,51.82 USD,12-23 days,true
32868589524,GI,China Post Registered Air Mail,2.20 USD,28-51 days,true
32868589524,GI,AliExpress Standard Shipping,5.19 USD,20-40 days,true
32868589524,GI,DHL,51.82 USD,7-15 days,true
32868589524,GN,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,GN,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,GN,EMS,52.14 USD,7-15 days,true
32868589524,GN,DHL,99.45 USD,7-15 days,true
32868589524,GE,China Post Registered Air Mail,2.21 USD,32-60 days,true
32868589524,GE,AliExpress Standard Shipping,4.98 USD,24-39 days,true
32868589524,GE,DHL,99.45 USD,10-20 days,true
32868589524,GR,China Post Registered Air Mail,2.32 USD,22-38 days,true
32868589524,GR,ePacket,5.19 USD,20-35 days,false
32868589524,GR,AliExpress Standard Shipping,5.48 USD,20-34 days,true
32868589524,GR,EMS,32.80 USD,15-27 days,true
32868589524,GR,DHL,51.82 USD,11-23 days,true
32868589524,GH,China Post Registered Air Mail,2.21 USD,37-57 days,false
