productid,country,company,cost,estimatedTime,tracked
32868589524,LK,EMS,35.14 USD,15-27 days,true
32868589524,LK,DHL,99.45 USD,9-17 days,true
32868589524,SR,China Post Registered Air Mail,2.34 USD,30-55 days,true
32868589524,SR,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,SR,DHL,99.45 USD,7-15 days,true
32868589524,TH,AliExpress Standard Shipping,0 USD,13-20 days,true
32868589524,TH,China Post Registered Air Mail,0 USD,12-22 days,true
32868589524,TH,ePacket,3.09 USD,20-35 days,true
32868589524,TH,EMS,22.26 USD,11-22 days,true
32868589524,TH,DHL,39.36 USD,7-15 days,true
32868589524,SJ,AliExpress Standard Shipping,5.19 USD,20-40 days,false
32868589524,TW,AliExpress Standard Shipping,4.39 USD,20-40 days,true
32868589524,TW,EMS,15.23 USD,13-26 days,true
32868589524,TW,DHL,36.74 USD,7-15 days,true
32868589524,TJ,China Post Registered Air Mail,2.09 USD,28-47 days,false
32868589524,TJ,AliExpress Standard Shipping,5.19 USD,31-48 days,false
